time,R3.i,R5.i
0,-0,-0
1e-06,-2.094395102e-06,-1.570795345e-06
6.833136295e-05,-0.0001431128675,-0.0001073300669
0.0007416449924,-0.001553292018,-0.001164429268
0.004381031334,-0.009174451845,-0.0068620496
0.01241036735,-0.02596588028,-0.01932451997
0.02444051683,-0.0509871496,-0.03766501693
0.03974200307,-0.08237314887,-0.06028251923
0.05912609014,-0.1210045614,-0.08751925199
0.0824128728,-0.1649943579,-0.1176840922
0.1096857954,-0.211967199,-0.1487762518
0.1407405295,-0.2578235838,-0.1777337331
0.1753852104,-0.2973675761,-0.2009936278
0.2133478019,-0.3245332193,-0.2147629373
0.2543531018,-0.3332086584,-0.2156279959
0.2981170353,-0.3182152853,-0.2011774836
0.3447947905,-0.2759348733,-0.170260598
0.3942655116,-0.2055156739,-0.1236640162
0.4467547807,-0.1094479182,-0.06416868241
0.5031083418,0.00650968206,0.003714314087
0.5714516627,0.1446714845,0.07994924527
0.6397949836,0.2565638341,0.1374576185
0.7081383045,0.3218693146,0.1673398556
0.7764816254,0.3287297547,0.1659916291
0.8448249463,0.2758994354,0.1354205803
0.9142213181,0.1710821917,0.08165503774
0.9852893553,0.03076605156,0.014280549
1,8.164311994e-17,-2.168011565e-12
